date,tweet_count,daily_sent,elonmusk,michael_saylor,binance,investingcom,charliebilello,peterlbrandt,raoulgmi,coinmarketcap,apompliano,cashapp
2021-05-23,182,0.003928571428571443,0,0,0,20,8,0,0,0,0,0
2021-05-22,260,0.19049384615384618,0,0,12,16,0,0,0,0,0,0
2021-05-21,260,0.09732769230769232,0,4,0,24,8,0,0,0,0,0
2021-05-20,324,0.1819222222222222,0,0,0,20,8,0,0,4,0,0
2021-05-19,445,0.08724719101123596,0,3,3,42,12,0,0,0,0,0
2021-05-18,174,0.12456724137931036,0,0,3,9,0,0,0,3,0,0
2021-05-17,221,0.06909411764705885,2,0,0,15,3,3,0,0,0,0
2021-05-16,68,0.05091911764705882,0,0,0,8,2,0,2,0,0,0
2021-05-15,30,0.22623333333333337,0,0,0,4,0,0,2,0,0,0
2021-05-14,70,0.3238714285714286,0,0,0,0,0,0,0,0,0,0
2021-05-13,196,0.011277551020408163,0,0,0,8,2,0,0,0,0,0
2021-05-12,46,0.12099130434782607,0,0,0,2,0,0,0,0,0,0
2021-05-11,46,0.3349173913043478,0,0,0,2,0,0,0,0,0,0
2021-05-10,36,0.36785000000000007,0,0,0,0,0,0,0,0,0,0
2021-05-09,16,0.053462499999999996,0,0,0,0,0,0,0,0,0,0
2021-05-08,32,-0.004612499999999992,0,0,0,0,0,0,0,2,0,0
2021-05-07,82,-0.01610731707317073,0,0,0,0,0,2,0,12,0,0
2021-05-06,58,0.3063379310344827,0,2,0,0,2,0,0,8,0,0
2021-05-05,48,0.11837500000000001,0,2,0,0,0,0,0,4,0,0
2021-05-04,62,0.038609677419354844,0,0,0,4,0,0,0,6,0,0
2021-05-03,38,0.12173157894736841,0,0,0,2,0,0,0,2,0,0
2021-05-02,46,0.19271739130434784,0,0,0,0,2,2,2,8,0,0
2021-05-01,40,0.06352,0,0,0,6,0,0,0,2,0,0
2021-04-30,32,0.1344,0,0,0,2,0,0,0,6,0,0
2021-04-29,50,0.140684,0,0,0,2,0,0,0,4,0,0
2021-04-28,64,0.21069999999999994,0,2,0,2,0,0,0,6,0,0
2021-04-27,84,0.3355690476190477,0,0,0,8,0,0,0,4,0,0
2021-04-26,88,0.15809545454545457,0,0,2,14,2,0,0,8,0,0
2021-04-25,34,-0.06348235294117649,0,0,0,0,0,0,0,4,0,0
2021-04-24,52,-0.1381,0,0,0,4,0,2,0,2,0,0
2021-04-23,78,0.0832948717948718,0,0,0,8,0,0,0,10,0,0
2021-04-22,64,0.15226875000000004,0,0,0,0,0,0,2,6,0,0
2021-04-21,40,0.35011499999999995,0,0,0,0,2,0,0,4,0,0
2021-04-20,40,0.213245,0,0,0,0,0,0,0,4,0,0
2021-04-19,50,-0.032984,0,0,0,0,0,2,0,6,0,0
2021-04-18,52,0.030926923076923074,0,0,0,10,2,0,0,8,0,0
2021-04-17,34,0.30422941176470586,0,0,0,0,0,0,0,8,0,0
2021-04-16,74,0.22628648648648644,0,0,0,2,2,0,0,8,0,0
2021-04-15,74,0.18481891891891894,0,0,2,0,0,0,0,10,0,0
2021-04-14,84,0.43743333333333334,0,0,0,10,2,0,0,0,0,0
2021-04-13,110,0.16358909090909088,0,0,0,8,4,0,0,10,2,0
2021-04-12,84,0.31577619047619054,0,2,0,2,0,0,0,8,0,0
2021-04-11,26,0.010407692307692309,0,0,0,2,0,0,2,2,0,0
