date,tweet_count,daily_sent,narendramodi,amitshah,eos,brendanblumer,ryangirdusky,sentedcruz,elienyc,binance,whcos,yamiche
2021-05-20,101,0.17342376237623763,0,0,0,1,0,0,0,0,0,0
2021-05-19,95,0.16948105263157895,0,0,0,1,0,0,0,0,0,0
2021-05-18,64,-0.0823,0,0,0,1,0,0,0,0,0,0
2021-05-17,80,0.15693999999999994,0,0,0,1,0,0,0,0,0,0
2021-05-16,45,-0.0634177777777778,0,0,0,0,0,0,0,0,0,0
2021-05-15,133,0.36229849624060156,0,0,1,1,0,0,0,0,0,0
2021-05-14,62,0.40836129032258084,0,0,1,1,0,0,0,0,0,0
2021-05-13,137,0.14137445255474462,0,0,0,1,0,0,0,0,0,0
2021-05-12,96,0.05354166666666668,0,0,0,0,0,0,0,0,0,0
2021-05-11,128,0.01566875000000001,0,0,0,0,0,0,0,0,0,0
2021-05-10,64,0.12556249999999997,0,0,0,0,0,0,0,0,0,0
2021-05-09,32,0.20995000000000003,0,0,1,0,0,0,0,0,0,0
2021-05-08,64,0.2558125,0,0,0,0,0,0,0,0,0,0
2021-05-07,72,0.12713333333333332,0,0,0,0,0,0,0,0,0,0
2021-05-06,64,0.24096249999999997,0,0,0,0,0,0,0,0,0,0
2021-05-05,56,0.11968571428571431,0,0,0,0,0,0,0,0,0,0
2021-05-04,56,0.03522857142857141,0,0,0,0,0,0,0,0,0,0
2021-05-03,32,0.35207499999999986,0,0,0,0,0,0,0,0,0,0
2021-05-02,16,0.3326,0,0,0,0,0,0,0,0,0,0
2021-05-01,40,0.30323999999999995,0,0,0,0,0,0,0,0,0,0
2021-04-30,56,0.3637714285714286,0,0,1,0,0,0,0,0,0,0
2021-04-29,72,0.27177777777777773,0,0,0,0,0,0,0,0,0,0
2021-04-28,24,0.14846666666666664,0,0,0,0,0,0,0,0,0,0
2021-04-27,104,0.3794307692307693,0,0,0,0,0,0,0,0,0,0
2021-04-26,96,0.05164166666666667,0,0,0,0,0,0,0,0,0,0
