,date,tweet_count,daily_sent,charliebilello,huobiglobal,binance,vitalikbuterin,coinmarketcap,eth_classic,grayscale,investingcom,scottmelker,justinsuntron
2021-04-25,2021-04-25,2,0.3715,0,0,0,0,0,1,0,0,0,0
2021-04-24,2021-04-24,4,0.250575,0,0,0,0,1,1,0,0,0,0
2021-04-23,2021-04-23,12,0.24817500000000003,0,0,0,0,1,1,0,1,0,0
2021-04-22,2021-04-22,21,0.24174761904761904,0,0,0,0,1,1,0,0,0,0
2021-04-21,2021-04-21,12,0.10794166666666666,1,0,0,0,1,0,0,0,0,0
2021-04-20,2021-04-20,4,-0.313825,0,0,0,0,1,1,0,0,0,0
2021-04-19,2021-04-19,5,0.16894,0,1,0,0,0,0,0,0,0,0
2021-04-18,2021-04-18,3,0.17020000000000002,1,0,0,0,1,0,0,0,0,0
2021-04-17,2021-04-17,9,0.14835555555555555,0,0,0,0,1,1,0,1,0,0
2021-04-16,2021-04-16,16,0.52340625,1,1,0,0,0,1,0,0,0,0
2021-04-15,2021-04-15,18,0.2180722222222222,0,0,0,0,1,1,0,0,0,0
2021-04-14,2021-04-14,20,0.058984999999999996,0,0,0,0,0,1,0,1,1,0
2021-04-13,2021-04-13,17,0.21728823529411767,0,1,1,0,1,0,0,1,0,0
2021-04-12,2021-04-12,7,0.4514142857142857,0,1,0,0,1,0,0,0,0,0
2021-04-11,2021-04-11,2,0.1591,0,0,0,0,0,0,0,0,0,0
2021-04-10,2021-04-10,8,0.0771875,1,0,0,0,1,0,0,1,0,0
2021-04-09,2021-04-09,5,0.40146000000000004,0,0,0,0,0,0,0,0,0,0
2021-04-08,2021-04-08,1,0.0,0,0,0,0,1,0,0,0,0,0
2021-04-07,2021-04-07,7,0.09567142857142856,0,0,0,0,1,1,0,0,0,0
2021-04-06,2021-04-06,7,0.4475142857142858,0,0,0,0,0,1,0,1,0,0
2021-04-05,2021-04-05,10,0.28503,0,1,0,0,1,0,0,0,0,0
2021-04-04,2021-04-04,3,0.021500000000000002,0,0,0,0,0,0,0,0,0,0
2021-04-03,2021-04-03,12,0.14086666666666667,0,0,0,0,1,0,0,1,0,0
2021-04-02,2021-04-02,18,0.13210555555555553,0,0,0,0,1,0,0,1,0,0
2021-04-01,2021-04-01,7,0.4064857142857143,0,0,0,0,1,0,0,0,0,1
2021-03-31,2021-03-31,3,0.2562,1,0,0,0,0,0,0,0,0,0
2021-03-30,2021-03-30,3,0.3468,0,0,0,0,0,0,0,0,1,0
2021-03-29,2021-03-29,10,0.41516000000000003,0,1,0,0,0,1,0,0,0,0
2021-03-28,2021-03-28,2,-0.09675,0,0,0,0,0,1,0,0,0,0
2021-03-27,2021-03-27,3,0.12773333333333334,0,0,0,0,0,0,0,0,0,0
2021-03-26,2021-03-26,6,0.4197,0,0,0,0,0,0,1,0,0,0
2021-03-25,2021-03-25,10,0.36357,0,0,0,0,1,0,0,0,0,0
2021-03-24,2021-03-24,2,0.5389,0,0,0,0,0,0,0,0,0,0
2021-03-23,2021-03-23,3,0.26803333333333335,0,0,0,0,0,0,0,1,0,0
2021-03-22,2021-03-22,5,0.47284,0,1,0,0,0,0,0,0,0,0
2021-03-20,2021-03-20,2,0.36755,0,0,0,0,1,0,0,0,0,0
2021-03-19,2021-03-19,4,0.39537500000000003,0,0,0,0,0,0,0,0,0,0
2021-03-18,2021-03-18,4,0.2744,0,0,0,0,0,0,0,0,0,0
2021-03-17,2021-03-17,4,0.08524999999999999,0,0,0,0,0,0,0,0,0,0
2021-03-16,2021-03-16,2,0.1366,0,0,0,0,0,0,0,0,0,0
2021-03-15,2021-03-15,7,0.20127142857142857,0,1,0,0,1,0,0,1,0,0
2021-03-13,2021-03-13,5,0.46053999999999995,0,0,0,0,0,0,0,0,1,0
2021-03-12,2021-03-12,9,0.24615555555555557,0,0,0,0,0,0,1,0,0,0
2021-03-11,2021-03-11,1,0.0,0,0,0,0,0,0,0,0,0,0
2021-03-10,2021-03-10,4,0.07559999999999997,0,0,0,0,1,1,1,0,0,0
2021-03-09,2021-03-09,10,0.22748999999999997,0,0,0,0,0,1,0,0,0,0
2021-03-08,2021-03-08,6,0.38655,0,1,0,0,0,1,0,0,0,0
2021-03-06,2021-03-06,5,0.09784000000000001,0,0,0,0,1,0,0,0,0,0
2021-03-05,2021-03-05,4,0.050575,0,0,1,0,0,0,0,0,0,0
2021-03-04,2021-03-04,4,0.029850000000000015,0,0,0,0,0,0,0,0,0,0
2021-03-03,2021-03-03,3,0.434,0,0,0,0,0,0,0,0,0,0
2021-03-02,2021-03-02,6,0.3868333333333333,0,0,0,0,0,0,1,0,0,0
2021-03-01,2021-03-01,2,-0.04780000000000001,0,0,0,0,0,0,0,0,1,0
2021-02-28,2021-02-28,7,-0.0255,0,0,1,0,0,0,0,1,0,0
2021-02-27,2021-02-27,4,0.5626,0,0,0,0,1,0,0,0,0,0
2021-02-26,2021-02-26,8,0.39927500000000005,1,0,0,0,1,1,1,0,0,0
2021-02-25,2021-02-25,6,0.1922,0,0,0,0,0,0,1,0,0,0
2021-02-24,2021-02-24,7,0.27017142857142856,0,0,0,0,0,1,0,0,0,0
2021-02-23,2021-02-23,12,-0.023250000000000003,0,1,1,0,0,1,0,0,0,0
2021-02-22,2021-02-22,9,0.20075555555555558,0,0,1,0,1,0,0,0,0,0
2021-02-21,2021-02-21,5,0.37306,0,0,0,0,0,0,0,1,0,0
2021-02-20,2021-02-20,14,0.18306428571428568,0,0,0,0,1,0,0,1,0,0
2021-02-19,2021-02-19,10,0.25554,0,0,1,0,0,0,1,1,0,0
2021-02-18,2021-02-18,13,0.19423846153846153,0,0,0,0,0,0,1,1,0,0
2021-02-17,2021-02-17,4,0.3454,0,0,0,0,0,1,0,0,0,0
2021-02-16,2021-02-16,4,0.5785,0,0,0,0,0,1,1,0,0,0
2021-02-15,2021-02-15,2,0.4144,0,0,0,0,0,0,1,0,0,0
2021-02-14,2021-02-14,2,0.13474999999999998,0,0,0,0,0,0,0,0,0,0
2021-02-13,2021-02-13,4,0.528525,0,0,0,0,0,1,0,0,0,0
2021-02-12,2021-02-12,7,0.3445571428571429,0,0,0,0,0,0,1,0,0,0
2021-02-11,2021-02-11,4,0.20404999999999998,0,0,0,0,0,1,0,0,0,0
2021-02-10,2021-02-10,12,0.356425,0,0,0,0,1,1,0,0,0,0
2021-02-09,2021-02-09,11,0.3280909090909091,0,0,0,0,1,1,0,1,0,0
2021-02-08,2021-02-08,4,0.13592500000000002,0,0,0,0,0,0,0,0,0,0
2021-02-07,2021-02-07,4,0.27245,0,0,0,0,1,1,0,0,0,0
2021-02-06,2021-02-06,1,0.6249,0,0,0,0,0,0,0,0,0,0
2021-02-05,2021-02-05,18,0.1595277777777778,1,0,0,0,1,0,0,1,0,0
2021-02-04,2021-02-04,5,0.2294,0,0,0,0,1,1,0,0,0,0
2021-02-03,2021-02-03,19,0.0522578947368421,1,0,0,0,1,0,0,0,0,0
2021-02-02,2021-02-02,12,0.10146666666666666,1,1,0,0,1,0,0,0,0,0
2021-02-01,2021-02-01,3,0.5269666666666667,0,0,0,0,0,0,0,0,0,0
2021-01-31,2021-01-31,2,-0.09065,0,0,0,0,1,0,0,0,1,0
2021-01-30,2021-01-30,2,0.6890499999999999,0,0,0,0,0,0,0,0,0,0
2021-01-29,2021-01-29,11,0.42026363636363634,1,0,0,0,0,0,1,0,0,0
2021-01-28,2021-01-28,5,0.1594,0,0,0,0,1,0,0,0,0,0
2021-01-27,2021-01-27,5,0.31135999999999997,0,0,0,0,1,0,0,0,0,0
2021-01-26,2021-01-26,5,0.21905999999999998,0,0,0,0,1,0,0,0,0,0
2021-01-25,2021-01-25,10,0.38431999999999994,0,0,0,0,1,0,0,0,0,0
2021-01-24,2021-01-24,3,0.2740666666666667,0,0,0,0,1,0,0,0,0,0
2021-01-23,2021-01-23,2,0.8308,0,0,0,0,0,0,0,0,0,0
2021-01-22,2021-01-22,2,0.27815,0,0,0,0,1,0,0,0,0,0
