,Unnamed: 0,Unnamed: 0.1,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,date,tweet_count,daily_sent,charliebilello,huobiglobal,binance,vitalikbuterin,coinmarketcap,eth_classic,grayscale,investingcom,scottmelker,justinsuntron,MA_7,MA_30,MA_100,ADX_2_4,RSI_14,MACD_3_14,MACDsign_3_14,MACDdiff_3_14,Mass Index
0,0,0,301.13,312.18,298.0,302.0,7030.71034,1503014399999,2154655.3003566,4522,6224.58999,1908705.3685302,2017-08-17,,,,,,,,,,,,,,,,,,,,,
1,1,1,302.0,311.79,283.94,293.96,9537.84646,1503100799999,2858946.5093539,5658,7452.43542,2240813.2612264,2017-08-18,2.0,0.1366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,2,2,293.31,299.9,278.0,290.91,2146.19773,1503187199999,620022.5898617,1795,1537.9755,444713.6122086,2017-08-19,,,,,,,,,,,,,,,,,,,,,
3,3,3,289.41,300.53,282.85,299.1,2510.13871,1503273599999,742847.8945599,2038,2186.68739,647506.0620205,2017-08-20,,,,,,,,,,,,,,,,,,,,,
4,4,4,299.1,346.52,294.6,323.29,5219.44542,1503359999999,1689472.341214,3925,4004.19967,1297977.4231142,2017-08-21,1.0,-0.4215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.8511210635225456,,,,,
5,5,5,321.04,330.41,144.21,309.8,7956.35088,1503446399999,2454425.8033137,6577,4433.78132,1364472.488333,2017-08-22,,,,,,,,,,,,,,,,0.8353081441789789,,,,,
6,6,6,312.25,324.99,309.41,315.74,8665.72569,1503532799999,2753464.9450408,8540,2282.23633,728206.9176149,2017-08-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.9714285714286,,,0.7187094491816801,,,,,
7,7,7,315.74,328.04,314.01,323.42,6753.27192,1503619199999,2159417.1141537,6495,1901.90029,610929.1471679,2017-08-24,,,,,,,,,,,,,308.0314285714286,,,0.570485451439104,,,,,
8,8,8,323.42,338.28,323.42,327.24,7125.96962,1503705599999,2354162.038294,7452,2595.82561,859314.6835184,2017-08-25,1.0,0.9062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.7857142857143,,,0.4833013409636128,,,,,
9,9,9,327.24,335.44,323.41,330.79,4877.68521,1503791999999,1601994.3773166,4400,941.99655,311132.2631003,2017-08-26,,,,,,,,,,,,,318.48285714285714,,,0.657619746160764,,,,,
10,10,10,332.18,348.13,330.73,348.13,4635.43715,1503878399999,1554477.3581603,4973,1166.20029,392130.1151986,2017-08-27,,,,,,,,,,,,,325.4871428571428,,,0.773797679363286,,,,,
11,11,11,348.11,351.0,331.95,346.0,4279.1817,1503964799999,1463758.1691041,4526,1114.26279,383473.9889103,2017-08-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.7314285714286,,,0.8627009121599617,,,,,
12,12,12,347.0,377.6,346.0,374.7,3032.13425,1504051199999,1102069.6205809,3265,923.16784,334768.8104693,2017-08-29,,,,,,,,,,,,,338.0028571428571,,,0.9170233886473973,,,,,
13,13,13,374.7,393.71,362.05,385.93,4446.59608,1504137599999,1679526.2125115,4812,1285.37799,487837.7447577,2017-08-30,1.0,0.5106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.03000000000003,,,0.9495410967161119,0.5709957965643899,30.519788865275473,,,
14,14,14,384.64,389.36,377.78,384.79,4435.86855,1504223999999,1704441.3942666,4574,1432.19381,550808.610884,2017-08-31,3.0,-0.1707333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.79714285714283,,,0.9694803353092696,0.5709957965643899,30.350376881373222,,,
15,15,15,386.44,394.39,383.18,388.46,4198.68434,1504310399999,1635227.6137661,4124,1564.05531,609630.9497713,2017-09-01,,,,,,,,,,,,,365.5428571428571,,,0.9496374321616845,0.5936100825700842,29.373818275308565,,,
16,16,16,388.58,394.32,320.08,343.14,8240.32724,1504396799999,2904008.4613861,8217,2460.66776,868487.2833919,2017-09-02,1.0,-0.5423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.3071428571428,,,0.9377376630525909,0.3367024891417695,10.818574748041726,,,
17,17,17,343.56,367.28,320.08,341.77,5253.62211,1504483199999,1801702.6178029,6153,2240.91753,767938.2521776,2017-09-03,3.0,0.1524666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.3985714285714,,,0.958709279438444,0.3367024891417694,1.6018877122355093,,,
18,18,18,339.29,344.55,267.94,283.77,6737.81061,1504569599999,2002446.181802,7403,2954.16805,877011.1066647,2017-09-04,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.5085714285714,,,0.9737328302179786,0.22810022716094072,-23.192057872161513,,,
19,19,19,286.81,321.52,235.55,312.09,8344.41924,1504655999999,2397490.9178386,8999,4312.97282,1251958.9913116,2017-09-05,2.0,0.49355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.5642857142857,,,0.6154580978991374,0.1852671886941031,-22.08558531661538,,,
20,20,20,313.29,336.34,312.09,335.0,5486.30988,1504742399999,1793962.8584994,7089,2183.65363,713126.1017199,2017-09-06,2.0,0.0562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.2885714285714,,,0.49521128840275014,0.25875265873998377,-11.836288851021322,,,
21,21,21,335.01,342.5,320.17,334.49,3103.89745,1504828799999,1027135.6869524,2635,1321.09841,438034.1732964,2017-09-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.1028571428571,,,0.6420612907130908,0.28948800424976767,-6.786116159574817,-4.360822767416553,-2.425293392158264,
22,22,22,334.49,335.1,272.0,302.99,4915.75693,1504915199999,1494309.8866163,3227,2306.94838,698362.8493954,2017-09-08,3.0,0.2797333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.89285714285717,,,0.730169230349757,0.21067052126236388,-15.52952915953415,-6.863261341767194,-8.666267817766956,
