date,tweet_count,daily_sent,justinsuntron,charliebilello,binance,coinmarketcap,investingcom,huobiglobal,vitalikbuterin,grayscale,scottmelker,bosslogic
2021-05-23,55,-0.0886909090909091,0,10,0,0,5,0,0,0,0,0
2021-05-22,20,0.024274999999999984,0,0,0,0,0,0,0,0,0,0
2021-05-21,25,0.16266000000000003,0,10,0,0,0,0,0,0,0,0
2021-05-20,45,0.02664444444444445,0,10,0,5,5,0,0,0,0,0
2021-05-19,155,0.08827741935483874,5,5,5,0,35,0,0,0,0,0
2021-05-18,35,0.3756428571428571,0,0,0,0,5,0,0,0,0,0
2021-05-17,64,0.007443749999999993,0,0,0,0,0,0,0,0,0,0
2021-05-16,13,0.15457692307692308,0,0,0,0,0,0,0,0,0,0
2021-05-15,15,0.3019333333333334,0,0,0,0,5,0,0,0,0,0
2021-05-14,35,0.28052857142857146,0,0,0,0,0,0,0,0,5,0
2021-05-13,55,0.1655909090909091,0,0,10,5,0,0,0,0,0,0
2021-05-12,75,0.19994666666666666,0,0,0,0,10,0,0,0,0,0
2021-05-11,70,0.3430928571428573,0,0,0,0,0,0,0,0,0,0
2021-05-10,110,0.22444545454545445,0,0,0,5,15,0,0,0,0,0
2021-05-09,65,0.04684615384615385,0,0,0,0,5,0,0,0,0,5
2021-05-08,75,0.23171333333333347,0,0,5,5,15,0,0,0,0,0
2021-05-07,65,0.20989230769230768,0,0,0,25,0,0,0,0,0,0
2021-05-06,50,0.33941999999999994,0,5,0,10,10,0,0,0,0,0
2021-05-05,70,0.19662142857142856,0,0,0,10,5,5,0,0,0,0
2021-05-04,115,0.28064782608695654,0,0,5,5,20,0,0,0,0,5
2021-05-03,225,0.18757999999999994,0,0,0,15,35,0,0,0,0,10
2021-05-02,60,0.144925,0,0,0,0,5,0,0,0,0,0
2021-05-01,35,0.09162857142857142,5,0,0,0,10,0,0,0,0,0
2021-04-30,15,-0.44836666666666675,0,0,0,5,0,0,0,0,0,0
2021-04-29,55,0.17952727272727276,0,0,0,5,0,0,0,0,0,0
2021-04-28,50,0.27291999999999994,0,0,0,5,5,0,0,0,0,0
2021-04-27,55,0.17573636363636366,0,0,0,10,10,0,0,0,0,0
2021-04-26,35,0.4618,0,0,0,5,0,0,0,0,0,0
2021-04-25,5,0.3818,0,0,0,0,0,0,0,0,0,0
2021-04-24,15,0.13879999999999998,0,0,0,5,0,0,0,0,0,0
2021-04-23,20,0.19450000000000003,0,0,0,10,5,0,0,0,0,0
