date,bitcoin_pytrend_unscaled,bitcoin_pytrend_monthly
2014-01-01,46,8.0
2014-01-02,52,8.0
2014-01-03,49,8.0
2014-01-04,40,8.0
2014-01-05,51,8.0
2014-01-06,64,8.0
2014-01-07,57,8.0
2014-01-08,52,8.0
2014-01-09,55,8.0
2014-01-10,67,8.0
2014-01-11,43,8.0
2014-01-12,50,8.0
2014-01-13,45,8.0
2014-01-14,46,8.0
2014-01-15,60,8.0
2014-01-16,82,8.0
2014-01-17,74,8.0
2014-01-18,54,8.0
2014-01-19,49,8.0
2014-01-20,47,8.0
2014-01-21,73,8.0
2014-01-22,70,8.0
2014-01-23,68,8.0
2014-01-24,60,8.0
2014-01-25,51,8.0
2014-01-26,52,8.0
2014-01-27,85,8.0
2014-01-28,100,8.0
2014-01-29,72,8.0
2014-01-30,62,8.0
2014-01-31,57,8.0
2014-02-01,22,9.0
2014-02-02,20,9.0
2014-02-03,19,9.0
2014-02-04,19,9.0
2014-02-05,22,9.0
2014-02-06,26,9.0
2014-02-07,42,9.0
2014-02-08,26,9.0
2014-02-09,28,9.0
2014-02-10,42,9.0
2014-02-11,39,9.0
2014-02-12,24,9.0
2014-02-13,25,9.0
2014-02-14,36,9.0
2014-02-15,25,9.0
2014-02-16,21,9.0
2014-02-17,24,9.0
2014-02-18,29,9.0
2014-02-19,28,9.0
2014-02-20,33,9.0
2014-02-21,25,9.0
2014-02-22,27,9.0
2014-02-23,23,9.0
2014-02-24,25,9.0
2014-02-25,100,9.0
2014-02-26,65,9.0
2014-02-27,40,9.0
2014-02-28,64,9.0
2014-03-01,59,7.0
2014-03-02,43,7.0
2014-03-03,42,7.0
2014-03-04,44,7.0
2014-03-05,59,7.0
2014-03-06,91,7.0
2014-03-07,100,7.0
2014-03-08,47,7.0
2014-03-09,36,7.0
2014-03-10,37,7.0
2014-03-11,36,7.0
2014-03-12,33,7.0
2014-03-13,28,7.0
2014-03-14,27,7.0
2014-03-15,22,7.0
2014-03-16,22,7.0
2014-03-17,23,7.0
2014-03-18,23,7.0
2014-03-19,27,7.0
2014-03-20,24,7.0
2014-03-21,34,7.0
2014-03-22,23,7.0
2014-03-23,27,7.0
2014-03-24,26,7.0
2014-03-25,34,7.0
2014-03-26,36,7.0
2014-03-27,29,7.0
2014-03-28,28,7.0
2014-03-29,20,7.0
2014-03-30,24,7.0
2014-03-31,28,7.0
2014-04-01,74,4.0
2014-04-02,88,4.0
2014-04-03,71,4.0
2014-04-04,73,4.0
2014-04-05,61,4.0
2014-04-06,66,4.0
2014-04-07,72,4.0
2014-04-08,75,4.0
2014-04-09,77,4.0
2014-04-10,89,4.0
2014-04-11,100,4.0
2014-04-12,48,4.0
2014-04-13,59,4.0
2014-04-14,56,4.0
2014-04-15,72,4.0
2014-04-16,75,4.0
2014-04-17,71,4.0
2014-04-18,72,4.0
2014-04-19,66,4.0
2014-04-20,45,4.0
2014-04-21,51,4.0
2014-04-22,57,4.0
2014-04-23,64,4.0
2014-04-24,73,4.0
2014-04-25,64,4.0
2014-04-26,51,4.0
2014-04-27,57,4.0
2014-04-28,52,4.0
2014-04-29,56,4.0
2014-04-30,65,4.0
2014-05-01,88,3.0
2014-05-02,80,3.0
2014-05-03,83,3.0
2014-05-04,64,3.0
2014-05-05,82,3.0
2014-05-06,94,3.0
2014-05-07,82,3.0
2014-05-08,76,3.0
2014-05-09,88,3.0
2014-05-10,61,3.0
2014-05-11,71,3.0
2014-05-12,76,3.0
2014-05-13,84,3.0
2014-05-14,72,3.0
2014-05-15,82,3.0
2014-05-16,79,3.0
2014-05-17,93,3.0
2014-05-18,64,3.0
2014-05-19,61,3.0
2014-05-20,95,3.0
2014-05-21,100,3.0
2014-05-22,82,3.0
2014-05-23,92,3.0
2014-05-24,74,3.0
2014-05-25,75,3.0
2014-05-26,64,3.0
2014-05-27,88,3.0
2014-05-28,83,3.0
2014-05-29,96,3.0
2014-05-30,96,3.0
2014-05-31,97,3.0
2014-06-01,65,3.0
2014-06-02,67,3.0
2014-06-03,100,3.0
2014-06-04,81,3.0
2014-06-05,90,3.0
2014-06-06,66,3.0
2014-06-07,62,3.0
2014-06-08,52,3.0
2014-06-09,55,3.0
2014-06-10,72,3.0
2014-06-11,83,3.0
2014-06-12,76,3.0
2014-06-13,97,3.0
2014-06-14,76,3.0
2014-06-15,82,3.0
2014-06-16,80,3.0
2014-06-17,73,3.0
2014-06-18,85,3.0
2014-06-19,80,3.0
2014-06-20,69,3.0
2014-06-21,48,3.0
2014-06-22,62,3.0
2014-06-23,66,3.0
2014-06-24,54,3.0
2014-06-25,39,3.0
2014-06-26,54,3.0
2014-06-27,83,3.0
2014-06-28,64,3.0
2014-06-29,64,3.0
2014-06-30,63,3.0
2014-07-01,86,3.0
2014-07-02,78,3.0
2014-07-03,80,3.0
2014-07-04,82,3.0
2014-07-05,60,3.0
2014-07-06,57,3.0
2014-07-07,75,3.0
2014-07-08,63,3.0
2014-07-09,79,3.0
2014-07-10,73,3.0
2014-07-11,62,3.0
2014-07-12,59,3.0
2014-07-13,53,3.0
2014-07-14,74,3.0
2014-07-15,82,3.0
2014-07-16,88,3.0
2014-07-17,66,3.0
2014-07-18,85,3.0
2014-07-19,70,3.0
2014-07-20,66,3.0
2014-07-21,75,3.0
2014-07-22,82,3.0
2014-07-23,58,3.0
2014-07-24,61,3.0
2014-07-25,47,3.0
