date,eos_pytrend_unscaled,eos_pytrend_monthly
2014-01-01,57,79.0
2014-01-02,73,79.0
2014-01-03,89,79.0
2014-01-04,75,79.0
2014-01-05,100,79.0
2014-01-06,84,79.0
2014-01-07,81,79.0
2014-01-08,99,79.0
2014-01-09,79,79.0
2014-01-10,86,79.0
2014-01-11,63,79.0
2014-01-12,82,79.0
2014-01-13,73,79.0
2014-01-14,81,79.0
2014-01-15,77,79.0
2014-01-16,75,79.0
2014-01-17,68,79.0
2014-01-18,84,79.0
2014-01-19,78,79.0
2014-01-20,74,79.0
2014-01-21,59,79.0
2014-01-22,62,79.0
2014-01-23,79,79.0
2014-01-24,68,79.0
2014-01-25,75,79.0
2014-01-26,76,79.0
2014-01-27,67,79.0
2014-01-28,67,79.0
2014-01-29,67,79.0
2014-01-30,75,79.0
2014-01-31,83,79.0
2014-02-01,84,71.0
2014-02-02,80,71.0
2014-02-03,73,71.0
2014-02-04,72,71.0
2014-02-05,70,71.0
2014-02-06,87,71.0
2014-02-07,66,71.0
2014-02-08,72,71.0
2014-02-09,100,71.0
2014-02-10,75,71.0
2014-02-11,44,71.0
2014-02-12,59,71.0
2014-02-13,84,71.0
2014-02-14,82,71.0
2014-02-15,54,71.0
2014-02-16,86,71.0
2014-02-17,81,71.0
2014-02-18,73,71.0
2014-02-19,53,71.0
2014-02-20,63,71.0
2014-02-21,62,71.0
2014-02-22,77,71.0
2014-02-23,67,71.0
2014-02-24,66,71.0
2014-02-25,58,71.0
2014-02-26,70,71.0
2014-02-27,49,71.0
2014-02-28,51,71.0
2014-03-01,82,67.0
2014-03-02,85,67.0
2014-03-03,64,67.0
2014-03-04,74,67.0
2014-03-05,65,67.0
2014-03-06,61,67.0
2014-03-07,63,67.0
2014-03-08,45,67.0
2014-03-09,100,67.0
2014-03-10,80,67.0
2014-03-11,62,67.0
2014-03-12,68,67.0
2014-03-13,58,67.0
2014-03-14,76,67.0
2014-03-15,71,67.0
2014-03-16,79,67.0
2014-03-17,75,67.0
2014-03-18,66,67.0
2014-03-19,62,67.0
2014-03-20,54,67.0
2014-03-21,82,67.0
2014-03-22,69,67.0
2014-03-23,60,67.0
2014-03-24,65,67.0
2014-03-25,69,67.0
2014-03-26,73,67.0
2014-03-27,70,67.0
2014-03-28,73,67.0
2014-03-29,69,67.0
2014-03-30,74,67.0
2014-03-31,77,67.0
2014-04-01,67,66.0
2014-04-02,78,66.0
2014-04-03,78,66.0
2014-04-04,76,66.0
2014-04-05,58,66.0
